"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
A,"Agriculture, Forestry and Fishing",,,,F7.0001,Yes,1,A,..,..,..,A,"Agriculture, Forestry and Fishing", .. ,..,..,ANZSIC-A,ANZSIC,..,No,..,..,1,..,,,,,ANZSIC-A,A
01,Agriculture,,,,F7.0002,Yes,2,A,01,..,..,01,Agriculture, .. ,..,..,ANZSIC-01,ANZSIC-A,..,No,..,..,1,..,,,,,ANZSIC-01,01
011,Nursery and Floriculture Production,,,,F7.0003,Yes,3,A,01,011,..,011,Nursery and Floriculture Production, .. ,..,..,ANZSIC-011,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-011,011
,0111,Nursery Production (Under Cover),0129p,Growing of other perennial crops,F7.0004,Yes,4,A,01,011,0111,0111,Nursery Production (Under Cover), Growing of other perennial crops ,0129,p,ANZSIC-0111,ANZSIC-011,ISIC-0129,Yes,2,7,2,Growing of other perennial crops,,,,,ANZSIC-0111,0111
,,,0130p,Plant propagation,F7.0005,No,4,A,01,011,0111,0111,Nursery Production (Under Cover), Plant propagation ,0130,p,ANZSIC-0111,ANZSIC-011,ISIC-0130,Yes,2,4,2,Plant propagation,,,,,ANZSIC-0112,0112
,0112,Nursery Production (Outdoors),0129p,Growing of other perennial crops,F7.0006,Yes,4,A,01,011,0112,0112,Nursery Production (Outdoors), Growing of other perennial crops ,0129,p,ANZSIC-0112,ANZSIC-011,ISIC-0129,Yes,2,7,2,Growing of other perennial crops,,,,,ANZSIC-0113,0113
,,,0130p,Plant propagation,F7.0007,No,4,A,01,011,0112,0112,Nursery Production (Outdoors), Plant propagation ,0130,p,ANZSIC-0112,ANZSIC-011,ISIC-0130,Yes,2,4,2,Plant propagation,,,,,ANZSIC-0114,0114
,0113,Turf Growing,0130p,Plant propagation,F7.0008,Yes,4,A,01,011,0113,0113,Turf Growing, Plant propagation ,0130,p,ANZSIC-0113,ANZSIC-011,ISIC-0130,Yes,1,4,1,Plant propagation,,,,,ANZSIC-0115,0115
,0114,Floriculture Production (Under Cover),0119p,Growing of other non-perennial crops,F7.0009,Yes,4,A,01,011,0114,0114,Floriculture Production (Under Cover), Growing of other non-perennial crops ,0119,p,ANZSIC-0114,ANZSIC-011,ISIC-0119,Yes,2,6,2,Growing of other non-perennial crops,,,,,ANZSIC-012,012
,,,0129p,Growing of other perennial crops,F7.0010,No,4,A,01,011,0114,0114,Floriculture Production (Under Cover), Growing of other perennial crops ,0129,p,ANZSIC-0114,ANZSIC-011,ISIC-0129,Yes,2,7,2,Growing of other perennial crops,,,,,ANZSIC-0121,0121
,0115,Floriculture Production (Outdoors),0119p,Growing of other non-perennial crops,F7.0011,Yes,4,A,01,011,0115,0115,Floriculture Production (Outdoors), Growing of other non-perennial crops ,0119,p,ANZSIC-0115,ANZSIC-011,ISIC-0119,Yes,2,6,2,Growing of other non-perennial crops,,,,,ANZSIC-0122,0122
,,,0129p,Growing of other perennial crops,F7.0012,No,4,A,01,011,0115,0115,Floriculture Production (Outdoors), Growing of other perennial crops ,0129,p,ANZSIC-0115,ANZSIC-011,ISIC-0129,Yes,2,7,2,Growing of other perennial crops,,,,,ANZSIC-0123,0123
012,Mushroom and Vegetable Growing,,,,F7.0013,Yes,3,A,01,012,..,012,Mushroom and Vegetable Growing, .. ,..,..,ANZSIC-012,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-013,013
,0121,Mushroom Growing,0113p,"Growing of vegetables and melons, roots and tubers",F7.0014,Yes,4,A,01,012,0121,0121,Mushroom Growing," Growing of vegetables and melons, roots and tubers ",0113,p,ANZSIC-0121,ANZSIC-012,ISIC-0113,Yes,2,3,2,"Growing of vegetables and melons, roots and tubers",,,,,ANZSIC-0131,0131
,,,0130p,Plant propagation,F7.0015,No,4,A,01,012,0121,0121,Mushroom Growing, Plant propagation ,0130,p,ANZSIC-0121,ANZSIC-012,ISIC-0130,Yes,2,4,2,Plant propagation,,,,,ANZSIC-0132,0132
,0122,Vegetable Growing (Under Cover),0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",F7.0016,Yes,4,A,01,012,0122,0122,Vegetable Growing (Under Cover)," Growing of cereals (except rice), leguminous crops and oil seeds ",0111,p,ANZSIC-0122,ANZSIC-012,ISIC-0111,Yes,5,4,5,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,ANZSIC-0133,0133
,,,0113p,"Growing of vegetables and melons, roots and tubers",F7.0017,No,4,A,01,012,0122,0122,Vegetable Growing (Under Cover)," Growing of vegetables and melons, roots and tubers ",0113,p,ANZSIC-0122,ANZSIC-012,ISIC-0113,Yes,5,3,5,"Growing of vegetables and melons, roots and tubers",,,,,ANZSIC-0134,0134
,,,0119p,Growing of other non-perennial crops,F7.0018,No,4,A,01,012,0122,0122,Vegetable Growing (Under Cover), Growing of other non-perennial crops ,0119,p,ANZSIC-0122,ANZSIC-012,ISIC-0119,Yes,5,6,5,Growing of other non-perennial crops,,,,,ANZSIC-0135,0135
,,,0128p,"Growing of spices, aromatic, drug and pharmaceutical crops",F7.0019,No,4,A,01,012,0122,0122,Vegetable Growing (Under Cover)," Growing of spices, aromatic, drug and pharmaceutical crops ",0128,p,ANZSIC-0122,ANZSIC-012,ISIC-0128,Yes,5,3,5,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,ANZSIC-0136,0136
,,,0129p,Growing of other perennial crops,F7.0020,No,4,A,01,012,0122,0122,Vegetable Growing (Under Cover), Growing of other perennial crops ,0129,p,ANZSIC-0122,ANZSIC-012,ISIC-0129,Yes,5,7,5,Growing of other perennial crops,,,,,ANZSIC-0137,0137
,0123,Vegetable Growing (Outdoors),0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",F7.0021,Yes,4,A,01,012,0123,0123,Vegetable Growing (Outdoors)," Growing of cereals (except rice), leguminous crops and oil seeds ",0111,p,ANZSIC-0123,ANZSIC-012,ISIC-0111,Yes,5,4,5,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,ANZSIC-0139,0139
,,,0113p,"Growing of vegetables and melons, roots and tubers",F7.0022,No,4,A,01,012,0123,0123,Vegetable Growing (Outdoors)," Growing of vegetables and melons, roots and tubers ",0113,p,ANZSIC-0123,ANZSIC-012,ISIC-0113,Yes,5,3,5,"Growing of vegetables and melons, roots and tubers",,,,,ANZSIC-014,014
,,,0119p,Growing of other non-perennial crops,F7.0023,No,4,A,01,012,0123,0123,Vegetable Growing (Outdoors), Growing of other non-perennial crops ,0119,p,ANZSIC-0123,ANZSIC-012,ISIC-0119,Yes,5,6,5,Growing of other non-perennial crops,,,,,ANZSIC-0141,0141
,,,0128p,"Growing of spices, aromatic, drug and pharmaceutical crops",F7.0024,No,4,A,01,012,0123,0123,Vegetable Growing (Outdoors)," Growing of spices, aromatic, drug and pharmaceutical crops ",0128,p,ANZSIC-0123,ANZSIC-012,ISIC-0128,Yes,5,3,5,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,ANZSIC-0142,0142
,,,0129p,Growing of other perennial crops,F7.0025,No,4,A,01,012,0123,0123,Vegetable Growing (Outdoors), Growing of other perennial crops ,0129,p,ANZSIC-0123,ANZSIC-012,ISIC-0129,Yes,5,7,5,Growing of other perennial crops,,,,,ANZSIC-0143,0143
013,Fruit and Tree Nut Growing,,,,F7.0026,Yes,3,A,01,013,..,013,Fruit and Tree Nut Growing, .. ,..,..,ANZSIC-013,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-0144,0144
,0131,Grape Growing,0121,Growing of grapes,F7.0027,Yes,4,A,01,013,0131,0131,Grape Growing, Growing of grapes ,0121,..,ANZSIC-0131,ANZSIC-013,ISIC-0121,Yes,1,1,1,Growing of grapes,,,,,ANZSIC-0145,0145
,0132,Kiwifruit Growing,0125p,Growing of other tree and bush fruits and nuts,F7.0028,Yes,4,A,01,013,0132,0132,Kiwifruit Growing, Growing of other tree and bush fruits and nuts ,0125,p,ANZSIC-0132,ANZSIC-013,ISIC-0125,Yes,1,3,1,Growing of other tree and bush fruits and nuts,,,,,ANZSIC-0146,0146
,0133,Berry Fruit Growing,0125p,Growing of other tree and bush fruits and nuts,F7.0029,Yes,4,A,01,013,0133,0133,Berry Fruit Growing, Growing of other tree and bush fruits and nuts ,0125,p,ANZSIC-0133,ANZSIC-013,ISIC-0125,Yes,1,3,1,Growing of other tree and bush fruits and nuts,,,,,ANZSIC-0149,0149
,0134,Apple and Pear Growing,0124p,Growing of pome fruits and stone fruits,F7.0030,Yes,4,A,01,013,0134,0134,Apple and Pear Growing, Growing of pome fruits and stone fruits ,0124,p,ANZSIC-0134,ANZSIC-013,ISIC-0124,Yes,1,2,1,Growing of pome fruits and stone fruits,,,,,ANZSIC-015,015
,0135,Stone Fruit Growing,0124p,Growing of pome fruits and stone fruits,F7.0031,Yes,4,A,01,013,0135,0135,Stone Fruit Growing, Growing of pome fruits and stone fruits ,0124,p,ANZSIC-0135,ANZSIC-013,ISIC-0124,Yes,1,2,1,Growing of pome fruits and stone fruits,,,,,ANZSIC-0151,0151
