Code,Description,UID,#ISIC,PARENT #ISIC,Level No.,Level Description,Sections,Division,Group,Class,Used For Concordance ,"Matches to 
Concordance NACE","Matches to 
Concordance
(NAICS to ISIC)","Matches to 
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ISIC to NACE)","Not in
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ANZSIC)",Matched to NETVIEW,"Matches to 
Concordance
(ISIC to NACE)","Matches to 
Concordance
(ISIC to NAICS)","Matches to 
Concordance
(ISIC to ANZSIC)",
A,"Agriculture, forestry and fishing",F1.0001,ISIC-A,ISIC,1,Sections,A,00,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-A,,,
01,"Crop and animal production, hunting and related service activities",F1.0002,ISIC-01,ISIC-A,2,Division,A,01,000,0000,Yes,1,0,0,1,Yes,0,1,NACE-01,,,
011,Growing of non-perennial crops,F1.0003,ISIC-011,ISIC-01,3,Group,A,01,011,0000,Yes,1,0,0,1,Yes,0,1,NACE-01.1,,,
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",F1.0004,ISIC-0111,ISIC-011,4,Class,A,01,011,0111,Yes,1,9,9,1,,4,14,NACE-01.11,NAICS-111110;  NAICS-111120;  NAICS-111130;  NAICS-111140;  NAICS-111150;  NAICS-111191;  NAICS-111199;  NAICS-111992;  NAICS-111998,ANZSIC-0122;  ANZSIC-0123;  ANZSIC-0149;  ANZSIC-0159,
0112,Growing of rice,F1.0005,ISIC-0112,ISIC-011,4,Class,A,01,011,0112,Yes,1,1,1,1,,1,3,NACE-01.12,NAICS-111160,ANZSIC-0146,
0113,"Growing of vegetables and melons, roots and tubers",F1.0006,ISIC-0113,ISIC-011,4,Class,A,01,011,0113,Yes,1,5,5,1,,3,9,NACE-01.13,NAICS-111211;  NAICS-111219;  NAICS-111411;  NAICS-111419;  NAICS-111991,ANZSIC-0121;  ANZSIC-0122;  ANZSIC-0123,
0114,Growing of sugar cane,F1.0007,ISIC-0114,ISIC-011,4,Class,A,01,011,0114,Yes,1,1,1,1,,1,3,NACE-01.14,NAICS-111930,ANZSIC-0151,
0115,Growing of tobacco,F1.0008,ISIC-0115,ISIC-011,4,Class,A,01,011,0115,Yes,1,1,1,1,,1,3,NACE-01.15,NAICS-111910,ANZSIC-0159,
0116,Growing of fibre crops,F1.0009,ISIC-0116,ISIC-011,4,Class,A,01,011,0116,Yes,1,2,2,1,,2,5,NACE-01.16,NAICS-111920;  NAICS-111998,ANZSIC-0152;  ANZSIC-0159,
0119,Growing of other non-perennial crops,F1.0010,ISIC-0119,ISIC-011,4,Class,A,01,011,0119,Yes,1,3,3,1,,6,10,NACE-01.19,NAICS-111219;  NAICS-111422;  NAICS-111940,ANZSIC-0114;  ANZSIC-0115;  ANZSIC-0122;  ANZSIC-0123;  ANZSIC-0149;  ANZSIC-0159,
