Source,Target,UID,#NACE,#ISIC,#NACE matches,#ISIC matches
A,A,F6.0001,NACE-A,ISIC-A,1,1
01,01,F6.0002,NACE-01,ISIC-01,1,1
01.1,011,F6.0003,NACE-01.1,ISIC-011,1,1
01.11,0111,F6.0004,NACE-01.11,ISIC-0111,1,1
01.12,0112,F6.0005,NACE-01.12,ISIC-0112,1,1
01.13,0113,F6.0006,NACE-01.13,ISIC-0113,1,1
01.14,0114,F6.0007,NACE-01.14,ISIC-0114,1,1
01.15,0115,F6.0008,NACE-01.15,ISIC-0115,1,1
01.16,0116,F6.0009,NACE-01.16,ISIC-0116,1,1
01.19,0119,F6.0010,NACE-01.19,ISIC-0119,1,1
01.2,012,F6.0011,NACE-01.2,ISIC-012,1,1
01.21,0121,F6.0012,NACE-01.21,ISIC-0121,1,1
01.22,0122,F6.0013,NACE-01.22,ISIC-0122,1,1
01.23,0123,F6.0014,NACE-01.23,ISIC-0123,1,1
01.24,0124,F6.0015,NACE-01.24,ISIC-0124,1,1
01.25,0125,F6.0016,NACE-01.25,ISIC-0125,1,1
01.26,0126,F6.0017,NACE-01.26,ISIC-0126,1,1
01.27,0127,F6.0018,NACE-01.27,ISIC-0127,1,1
01.28,0128,F6.0019,NACE-01.28,ISIC-0128,1,1
01.29,0129,F6.0020,NACE-01.29,ISIC-0129,1,1
01.3,013,F6.0021,NACE-01.3,ISIC-013,1,1
01.30,0130,F6.0022,NACE-01.30,ISIC-0130,1,1
01.4,014,F6.0023,NACE-01.4,ISIC-014,1,1
01.41,0141,F6.0024,NACE-01.41,ISIC-0141,1,1
01.42,0141,F6.0025,NACE-01.42,ISIC-0141,1,1
01.43,0142,F6.0026,NACE-01.43,ISIC-0142,1,1
01.44,0143,F6.0027,NACE-01.44,ISIC-0143,1,1
01.45,0144,F6.0028,NACE-01.45,ISIC-0144,1,1
01.46,0145,F6.0029,NACE-01.46,ISIC-0145,1,1
01.47,0146,F6.0030,NACE-01.47,ISIC-0146,1,1
01.49,0149,F6.0031,NACE-01.49,ISIC-0149,1,1
01.5,015,F6.0032,NACE-01.5,ISIC-015,1,1
01.50,0150,F6.0033,NACE-01.50,ISIC-0150,1,1
01.6,016,F6.0034,NACE-01.6,ISIC-016,1,1
01.61,0161,F6.0035,NACE-01.61,ISIC-0161,1,1
01.62,0162,F6.0036,NACE-01.62,ISIC-0162,1,1
01.63,0163,F6.0037,NACE-01.63,ISIC-0163,1,1
01.64,0164,F6.0038,NACE-01.64,ISIC-0164,1,1
01.7,017,F6.0039,NACE-01.7,ISIC-017,1,1
01.70,0170,F6.0040,NACE-01.70,ISIC-0170,1,1
02,02,F6.0041,NACE-02,ISIC-02,1,1
02.1,021,F6.0042,NACE-02.1,ISIC-021,1,1
02.10,0210,F6.0043,NACE-02.10,ISIC-0210,1,1
02.2,022,F6.0044,NACE-02.2,ISIC-022,1,1
02.20,0220,F6.0045,NACE-02.20,ISIC-0220,1,1
02.3,023,F6.0046,NACE-02.3,ISIC-023,1,1
02.30,0230,F6.0047,NACE-02.30,ISIC-0230,1,1
02.4,024,F6.0048,NACE-02.4,ISIC-024,1,1
02.40,0240,F6.0049,NACE-02.40,ISIC-0240,1,1
03,03,F6.0050,NACE-03,ISIC-03,1,1
03.1,031,F6.0051,NACE-03.1,ISIC-031,1,1
03.11,0311,F6.0052,NACE-03.11,ISIC-0311,1,1
03.12,0312,F6.0053,NACE-03.12,ISIC-0312,1,1
03.2,032,F6.0054,NACE-03.2,ISIC-032,1,1
03.21,0321,F6.0055,NACE-03.21,ISIC-0321,1,1
03.22,0322,F6.0056,NACE-03.22,ISIC-0322,1,1
B,B,F6.0057,NACE-B,ISIC-B,1,1
05,05,F6.0058,NACE-05,ISIC-05,1,1
05.1,051,F6.0059,NACE-05.1,ISIC-051,1,1
05.10,0510,F6.0060,NACE-05.10,ISIC-0510,1,1
05.2,052,F6.0061,NACE-05.2,ISIC-052,1,1
05.20,0520,F6.0062,NACE-05.20,ISIC-0520,1,1
06,06,F6.0063,NACE-06,ISIC-06,1,1
06.1,061,F6.0064,NACE-06.1,ISIC-061,1,1
06.10,0610,F6.0065,NACE-06.10,ISIC-0610,1,1
06.2,062,F6.0066,NACE-06.2,ISIC-062,1,1
06.20,0620,F6.0067,NACE-06.20,ISIC-0620,1,1
07,07,F6.0068,NACE-07,ISIC-07,1,1
07.1,071,F6.0069,NACE-07.1,ISIC-071,1,1
07.10,0710,F6.0070,NACE-07.10,ISIC-0710,1,1
07.2,072,F6.0071,NACE-07.2,ISIC-072,1,1
07.21,0721,F6.0072,NACE-07.21,ISIC-0721,1,1
07.29,0729,F6.0073,NACE-07.29,ISIC-0729,1,1
08,08,F6.0074,NACE-08,ISIC-08,1,1
08.1,081,F6.0075,NACE-08.1,ISIC-081,1,1
08.11,0810,F6.0076,NACE-08.11,ISIC-0810,1,1
08.12,0810,F6.0077,NACE-08.12,ISIC-0810,1,1
08.9,089,F6.0078,NACE-08.9,ISIC-089,1,1
08.91,0891,F6.0079,NACE-08.91,ISIC-0891,1,1
08.92,0892,F6.0080,NACE-08.92,ISIC-0892,1,1
08.93,0893,F6.0081,NACE-08.93,ISIC-0893,1,1
08.99,0899,F6.0082,NACE-08.99,ISIC-0899,1,1
09,09,F6.0083,NACE-09,ISIC-09,1,1
09.1,091,F6.0084,NACE-09.1,ISIC-091,1,1
09.10,0910,F6.0085,NACE-09.10,ISIC-0910,1,1
09.9,099,F6.0086,NACE-09.9,ISIC-099,1,1
09.90,0990,F6.0087,NACE-09.90,ISIC-0990,1,1
C,C,F6.0088,NACE-C,ISIC-C,1,1
10,10,F6.0089,NACE-10,ISIC-10,1,1
10.1,101,F6.0090,NACE-10.1,ISIC-101,1,1
10.11,1010,F6.0091,NACE-10.11,ISIC-1010,1,1
10.12,1010,F6.0092,NACE-10.12,ISIC-1010,1,1
10.13,1010,F6.0093,NACE-10.13,ISIC-1010,1,1
10.2,102,F6.0094,NACE-10.2,ISIC-102,1,1
10.20,1020,F6.0095,NACE-10.20,ISIC-1020,1,1
10.3,103,F6.0096,NACE-10.3,ISIC-103,1,1
10.31,1030,F6.0097,NACE-10.31,ISIC-1030,1,1
10.32,1030,F6.0098,NACE-10.32,ISIC-1030,1,1
10.39,1030,F6.0099,NACE-10.39,ISIC-1030,1,1
10.4,104,F6.0100,NACE-10.4,ISIC-104,1,1
