Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,0,Multiple NAICS industries,,9810,Undifferentiated goods-producing activities of private households for own use,one to many links for ISIC 9810 to all of NAICS based on the goods,9810,F4.0001,NAICS-0,ISIC-9810,,0,1
,0,Multiple NAICS industries,,9820,Undifferentiated service-producing activities of private households for own use,one to many links for ISIC 9820 to all of NAICS based on the services,9820,F4.0002,NAICS-0,ISIC-9820,,0,1
,111110,Soybean Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0003,NAICS-111110,ISIC-0111,,1,1
,111120,Oilseed (except Soybean) Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0004,NAICS-111120,ISIC-0111,,1,1
,111130,Dry Pea and Bean Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0005,NAICS-111130,ISIC-0111,,1,1
,111140,Wheat Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0006,NAICS-111140,ISIC-0111,,1,1
,111150,Corn Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0007,NAICS-111150,ISIC-0111,,1,1
,111160,Rice Farming,,0112,Growing of rice, ,0112,F4.0008,NAICS-111160,ISIC-0112,,1,1
,111191,Oilseed and Grain Combination Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0009,NAICS-111191,ISIC-0111,,1,1
,111199,All Other Grain Farming,*,0111,"Growing of cereals (except rice), leguminous crops and oil seeds", ,0111,F4.0010,NAICS-111199,ISIC-0111,,1,1
,111211,Potato Farming,*,0113,"Growing of vegetables and melons, roots and tubers", ,0113,F4.0011,NAICS-111211,ISIC-0113,,1,1
*,111219,Other Vegetable (except Potato) and Melon Farming,*,0113,"Growing of vegetables and melons, roots and tubers","except kale, mangold wurzel, and pepper farming",0113,F4.0012,NAICS-111219,ISIC-0113,,1,1
*,111219,Other Vegetable (except Potato) and Melon Farming,*,0119,Growing of other non-perennial crops,"kale, mangold wurzel, etc. farming",0119,F4.0013,NAICS-111219,ISIC-0119,,1,1
*,111219,Other Vegetable (except Potato) and Melon Farming,*,0128,"Growing of spices, aromatic, drug and pharmaceutical crops","pepper farming (e.g., bell, chili, red, green)",0128,F4.0014,NAICS-111219,ISIC-0128,,1,1
,111310,Orange Groves,*,0123,Growing of citrus fruits, ,0123,F4.0015,NAICS-111310,ISIC-0123,,1,1
,111320,Citrus (except Orange) Groves,*,0123,Growing of citrus fruits, ,0123,F4.0016,NAICS-111320,ISIC-0123,,1,1
,111331,Apple Orchards,*,0124,Growing of pome fruits and stone fruits, ,0124,F4.0017,NAICS-111331,ISIC-0124,,1,1
,111332,Grape Vineyards,,0121,Growing of grapes, ,0121,F4.0018,NAICS-111332,ISIC-0121,,1,1
,111333,Strawberry Farming,*,0125,Growing of other tree and bush fruits and nuts, ,0125,F4.0019,NAICS-111333,ISIC-0125,,1,1
,111334,Berry (except Strawberry) Farming,*,0125,Growing of other tree and bush fruits and nuts, ,0125,F4.0020,NAICS-111334,ISIC-0125,,1,1
*,111335,Tree Nut Farming,*,0125,Growing of other tree and bush fruits and nuts,except nuts used chiefly for oil extraction,0125,F4.0021,NAICS-111335,ISIC-0125,,1,1
*,111335,Tree Nut Farming,*,0126,Growing of oleaginous fruits,nuts used chiefly for oil extraction including tung nuts,0126,F4.0022,NAICS-111335,ISIC-0126,,1,1
,111336,Fruit and Tree Nut Combination Farming,*,012,Growing of perennial crops,ISIC group level link - combination fruit and tree nut farming,012,F4.0023,NAICS-111336,ISIC-012,,1,1
*,111339,Other Noncitrus Fruit Farming,*,0122,Growing of tropical and subtropical fruits,banana and other tropical or subtropical fruit farming,0122,F4.0024,NAICS-111339,ISIC-0122,,1,1
*,111339,Other Noncitrus Fruit Farming,*,0124,Growing of pome fruits and stone fruits,"growing of apricots, peaches, cherries and other stone or pome fruits",0124,F4.0025,NAICS-111339,ISIC-0124,,1,1
*,111339,Other Noncitrus Fruit Farming,*,0125,Growing of other tree and bush fruits and nuts,other noncitrus fruit seed growing,0125,F4.0026,NAICS-111339,ISIC-0125,,1,1
*,111339,Other Noncitrus Fruit Farming,*,0126,Growing of oleaginous fruits,growing of olives and coconuts and other oleaginous fruits,0126,F4.0027,NAICS-111339,ISIC-0126,,1,1
*,111339,Other Noncitrus Fruit Farming,*,0127,Growing of beverage crops,growing coffee ,0127,F4.0028,NAICS-111339,ISIC-0127,,1,1
,111411,Mushroom Production,*,0113,"Growing of vegetables and melons, roots and tubers", ,0113,F4.0029,NAICS-111411,ISIC-0113,,1,1
*,111419,Other Food Crops Grown Under Cover,*,0113,"Growing of vegetables and melons, roots and tubers","growing melons, vegetables, etc. under cover",0113,F4.0030,NAICS-111419,ISIC-0113,,1,1
*,111419,Other Food Crops Grown Under Cover,*,0122,Growing of tropical and subtropical fruits,tropical and subtropical fruit grown under cover,0122,F4.0031,NAICS-111419,ISIC-0122,,1,1
*,111419,Other Food Crops Grown Under Cover,*,0128,"Growing of spices, aromatic, drug and pharmaceutical crops",herbs and ginseng grown under cover,0128,F4.0032,NAICS-111419,ISIC-0128,,1,1
*,111419,Other Food Crops Grown Under Cover,*,0322,Freshwater aquaculture,seaweed grown under cover,0322,F4.0033,NAICS-111419,ISIC-0322,,1,1
*,111421,Nursery and Tree Production,*,0129,Growing of other perennial crops,short rotation tree farming (such as Christmas trees),0129,F4.0034,NAICS-111421,ISIC-0129,,1,1
*,111421,Nursery and Tree Production,,0130,Plant propagation,except short rotation tree farming (such as Christmas tree farms),0130,F4.0035,NAICS-111421,ISIC-0130,,1,1
,111422,Floriculture Production,*,0119,Growing of other non-perennial crops, ,0119,F4.0036,NAICS-111422,ISIC-0119,,1,1
